"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"","","","20th EAI International Conference on Collaborative Computing: Networking, Applications and Worksharing, CollaborateCom 2024","2026","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","624 LNICST","","","","","0","","https://www.scopus.com/pages/publications/105013783024?origin=resultslist","","","The proceedings contain 62 papers. The special focus in this conference is on Collaborative Computing: Networking, Applications and Worksharing. The topics include: Minimizing the Age of Knowledge in Application-Oriented Mobile Edge Computing System with DRL-Based Scheduling; dependency-Aware Task Offloading in Dynamic Network Environment with D2D Collaboration; Delay Minimization for Downlink PD-NOMA Transmission with Index Coding in Cache-Aided Wireless Networks; fast Adaptive Caching Algorithm for Mobile Edge Networks Based on Meta-reinforcement Learning; delay- and Cost-Aware Dynamic Service Migration in Collaborative Satellite Computing; towards Efficient Scheduling in Large Clusters Leveraging the Small-World Network Model; a Dynamic Prioritization Task Offloading Strategy with Delay Constraints; task Scheduling Strategy Among Multiple Local Mobile Clouds in Pervasive Edge Computing; a Task Scheduling Strategy Based on Computing-Aware and Multi-agent Collaborative Services in Pervasive Edge Computing; collaborative Vehicular Edge Cloud Computing Task Offloading Optimization Scheme Based on Deep Reinforcement Learning; NL-ATD: Spatio-Temporal Few-Shot Learning via Attention Transfer and Denoising Model; A GCN-Based DRL Approach for Task Migration and Resource Allocation in Heterogeneous Edge-Cloud Environments; a Multi-Document Summarization Method for Customer Feedback Based on Large Language Models; kaRe: Towards Flexible and Effective Machine Unlearning with Knowledge Alignment and Repair; SWGCNN-BiLSTM: A Method for Detecting Unknown Attack Traffic Within Imbalanced Samples; two-Stage Workflow Scheduling Based on Deep Reinforcement Learning; GRASP-SLAM: Gmapping-Augmented DRL for Active SLAM Using Policy Gradient; WiLDID: Low-Collaboration WiFi-Based Person Identification Via a Lightweight Deep Neural Network; dialogue Summarization by Integrating Structural Features and Improving Factual Consistency Through Post-editing; transAware: An Automatic Parallel Method for Deep Learning Model Training with Global Model Structure Awareness; a Reliability Enhancement Scheme for Distributed Cloud Service Systems Based on Deep Reinforcement Learning; contrastive Learning-Based Finger-Vein Recognition Using Frequency-Mixup Augmentation and Time-Frequency Feature Fusion.","","","","Gao H.; Wang X.","Springer Science and Business Media Deutschland GmbH","18678211","978-303193250-2","","","English","Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.","Conference review","Final","","Scopus","2-s2.0-105013783024"
"Wang H.-P.; Fritz M.","Wang, Hui-Po (57208005603); Fritz, Mario (14035495500)","57208005603; 14035495500","Language Models as Zero-shot Lossless Gradient Compressors: Towards General Neural Parameter Prior Models","2024","Advances in Neural Information Processing Systems","37","","","","","2","","https://www.scopus.com/pages/publications/105000473046?origin=resultslist","CISPA Helmholtz Center for Information Security, Germany","Wang H.-P., CISPA Helmholtz Center for Information Security, Germany; Fritz M., CISPA Helmholtz Center for Information Security, Germany","Despite the widespread use of statistical prior models in various fields, such models for neural network gradients have long been overlooked. The inherent challenge stems from their high-dimensional structures and complex interdependencies, which complicate effective modeling. In this work, we demonstrate the potential of large language models (LLMs) to act as gradient priors in a zero-shot setting. We examine the property by considering lossless gradient compression - a critical application in distributed learning - that depends heavily on precise probability modeling. To achieve this, we introduce LM-GC, a novel method that integrates LLMs with arithmetic coding. Our technique converts plain gradients into text-like formats, enhancing token efficiency by up to 38 times compared to their plain representations. We ensure that this data conversion maintains a close alignment with the structure of plain gradients and the symbols commonly recognized by LLMs. Our experiments indicate that LM-GC surpasses existing state-of-the-art lossless compression methods, improving compression rates by 10% up to 17.2% across various datasets and architectures. Additionally, our approach shows promising compatibility with lossy compression techniques such as quantization and sparsification. These findings highlight the significant potential of LLMs as a model for effectively handling gradients. Code is available at https://github.com/hui-po-wang/LM-GC. © 2024 Neural information processing systems foundation. All rights reserved.","","","","Globerson A.; Mackey L.; Belgrave D.; Fan A.; Paquet U.; Tomczak J.; Zhang C.","Neural information processing systems foundation","10495258","","","","English","Adv. neural inf. proces. syst.","Conference paper","Final","","Scopus","2-s2.0-105000473046"
"","","","ISEC 2025 - Proceedings of the 18th Innovations in Software Engineering Conference","2025","ISEC 2025 - Proceedings of the 18th Innovations in Software Engineering Conference","","","","","","0","","https://www.scopus.com/pages/publications/105008306331?origin=resultslist","","","The proceedings contain 19 papers. The topics discussed include: sol-repairer: solidity smart contract dead code repairer; effective resource management through VM allocation in cloud data center; a lightweight hybrid CNN-fuzzy logic approach for real time on-device document classification; test case generation for requirements in natural language – an LLM comparison study; constructing enterprise digital twins by augmenting LLMs with MDE; worst-case response time analysis for periodic programs with nested locks; SolGen: secure smart contract code generation using large language models via masked prompting; explaining unsolvability of planning problems in cyber-physical systems; and privacy or performance? towards secure and scalable medical image storage and retrieval management in the cloud.","","","","Kumar Chhabra J.; Kumar L.; Chimalakonda S.; Krishan P.; Godboley S.","Association for Computing Machinery, Inc","","979-840071424-5","","","English","ISEC - Proc. Innov. Softw. Eng. Conf.","Conference review","Final","","Scopus","2-s2.0-105008306331"
"Sengamedu S.; Zhao H.","Sengamedu, Srinivasan (23135605300); Zhao, Hangqi (57990712600)","23135605300; 57990712600","Neural language models for code quality identification","2022","MaLTeSQuE 2022 - Proceedings of the 6th International Workshop on Machine Learning Techniques for Software Quality Evaluation, co-located with ESEC/FSE 2022","","","","5","10","5","10.1145/3549034.3561175","https://www.scopus.com/pages/publications/85143199642?origin=resultslist","Amazon, United States","Sengamedu S., Amazon, United States; Zhao H., Amazon, United States","Neural Language Models for code have lead to interesting applications such as code completion and bug fix generation. Another type of code related application is the identification of code quality issues such as repetitive code and unnatural code. Neural language models contain implicit knowledge about such aspects. We propose a framework to detect code quality issues using neural language models. To handle repository-specific conventions, we use local or repository-specific models. The models are successful in detecting real-world code quality issues with low false positive rate.  © 2022 ACM.","Code Quality; Neural Language Model","Bug fixes; Code completions; Code quality; False positive rates; Implicit knowledge; Language model; Neural language model; Quality identifications; Quality issues; Real-world; Computational linguistics","S. Sengamedu; Amazon, United States; email: sengamed@amazon.com","Cordy M.; Xie X.; Xu B.; Stamatia B.","Association for Computing Machinery, Inc","","978-145039456-7","","","English","MaLTeSQuE - Proc. Int. Workshop Mach. Learn. Tech. Softw. Qual. Eval., co-located ESEC/FSE","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85143199642"
"","","","20th EAI International Conference on Collaborative Computing: Networking, Applications and Worksharing, CollaborateCom 2024","2026","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","625 LNICST","","","","","0","","https://www.scopus.com/pages/publications/105014088281?origin=resultslist","","","The proceedings contain 62 papers. The special focus in this conference is on Collaborative Computing: Networking, Applications and Worksharing. The topics include: Minimizing the Age of Knowledge in Application-Oriented Mobile Edge Computing System with DRL-Based Scheduling; dependency-Aware Task Offloading in Dynamic Network Environment with D2D Collaboration; Delay Minimization for Downlink PD-NOMA Transmission with Index Coding in Cache-Aided Wireless Networks; fast Adaptive Caching Algorithm for Mobile Edge Networks Based on Meta-reinforcement Learning; delay- and Cost-Aware Dynamic Service Migration in Collaborative Satellite Computing; towards Efficient Scheduling in Large Clusters Leveraging the Small-World Network Model; a Dynamic Prioritization Task Offloading Strategy with Delay Constraints; task Scheduling Strategy Among Multiple Local Mobile Clouds in Pervasive Edge Computing; a Task Scheduling Strategy Based on Computing-Aware and Multi-agent Collaborative Services in Pervasive Edge Computing; collaborative Vehicular Edge Cloud Computing Task Offloading Optimization Scheme Based on Deep Reinforcement Learning; NL-ATD: Spatio-Temporal Few-Shot Learning via Attention Transfer and Denoising Model; A GCN-Based DRL Approach for Task Migration and Resource Allocation in Heterogeneous Edge-Cloud Environments; a Multi-Document Summarization Method for Customer Feedback Based on Large Language Models; kaRe: Towards Flexible and Effective Machine Unlearning with Knowledge Alignment and Repair; SWGCNN-BiLSTM: A Method for Detecting Unknown Attack Traffic Within Imbalanced Samples; two-Stage Workflow Scheduling Based on Deep Reinforcement Learning; GRASP-SLAM: Gmapping-Augmented DRL for Active SLAM Using Policy Gradient; WiLDID: Low-Collaboration WiFi-Based Person Identification Via a Lightweight Deep Neural Network; dialogue Summarization by Integrating Structural Features and Improving Factual Consistency Through Post-editing; transAware: An Automatic Parallel Method for Deep Learning Model Training with Global Model Structure Awareness; a Reliability Enhancement Scheme for Distributed Cloud Service Systems Based on Deep Reinforcement Learning; contrastive Learning-Based Finger-Vein Recognition Using Frequency-Mixup Augmentation and Time-Frequency Feature Fusion.","","","","Gao H.; Wang X.","Springer Science and Business Media Deutschland GmbH","18678211","978-303193253-3","","","English","Lect. Notes Inst. Comput. Sci. Soc. Informatics Telecommun. Eng.","Conference review","Final","","Scopus","2-s2.0-105014088281"
"Yashchenko D.S.; Romanov A.Y.; Ziazetdinov A.A.; Telpukhov D.V.; Solovyev R.A.","Yashchenko, Daniil S. (60309759800); Romanov, Aleksandr Y. (55372881400); Ziazetdinov, Artur A. (59397036700); Telpukhov, Dmitry V. (56535330600); Solovyev, Roman A. (56535303500)","60309759800; 55372881400; 59397036700; 56535330600; 56535303500","Generation of Synthesizable Verilog Code From Natural Language Specifications","2026","IEEE Access","14","","","4990","5001","0","10.1109/ACCESS.2026.3651684","https://www.scopus.com/pages/publications/105026994605?origin=resultslist","HSE University, Moscow, 101000, Russian Federation; AlphaChip LLC, Moscow, 124498, Russian Federation","Yashchenko D.S., HSE University, Moscow, 101000, Russian Federation; Romanov A.Y., HSE University, Moscow, 101000, Russian Federation; Ziazetdinov A.A., HSE University, Moscow, 101000, Russian Federation; Telpukhov D.V., AlphaChip LLC, Moscow, 124498, Russian Federation; Solovyev R.A., AlphaChip LLC, Moscow, 124498, Russian Federation","This study presents a method for generating synthesizable Verilog code for digital integrated circuits directly from natural-language specifications. The approach combines large language models with parameter-efficient fine-tuning (specifically, Low-Rank Adaptation and Quantized Low-Rank Adaptation) together with a specialized corpus of specification-code pairs that covers common design patterns and varying task complexity. The pipeline includes automated compilation, simulation, and synthesizability checks to ensure that outputs are both syntactically correct and suitable for downstream tool flows. Evaluation is performed using the pass-at-k metric on the standardized VerilogEval benchmark. The fine-tuned models substantially improve functional correctness over untuned baselines, achieving task-level pass@3 of up to 0.88 on a controlled VerilogEval dataset, while reducing both syntax and logic errors. The results indicate that reliable Verilog code generation from natural language can be achieved under constrained compute budgets; in our setup, effective training and inference remained feasible on a single graphics processing unit. Beyond empirical gains, the method demonstrates practical value for design automation by shortening iteration cycles and lowering the effort needed to move from textual requirements to synthesizable hardware modules. Overall, the findings support the use of large language models, paired with targeted data and validation, as a viable pathway for Verilog code generation and for accelerating the development of complex digital devices. © 2013 IEEE.","Artificial intelligence; automatic programming; design automation; digital integrated circuits; hardware description language; natural language processing; Verilog","Automation; Budget control; Codes (symbols); Computational linguistics; Computer aided design; Computer hardware; Digital devices; Digital integrated circuits; Integrated circuit design; Iterative methods; Natural language processing systems; Specifications; Syntactics; Codegeneration; Description languages; Design automations; Hardware descriptions; Language model; Language processing; Natural language processing; Natural language specifications; Natural languages; Verilog code; Automatic programming; Computer hardware description languages","A.Y. Romanov; HSE University, Moscow, 101000, Russian Federation; email: a.romanov@hse.ru","","Institute of Electrical and Electronics Engineers Inc.","21693536","","","","English","IEEE Access","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105026994605"
"Hartsock I.; Koutsoubis N.; Ahmed S.; Parker N.; Schabath M.B.; Araujo C.; Qayyum A.; Lam C.; Gatenby R.A.; Rasool G.","Hartsock, Iryna (57224102802); Koutsoubis, Nikolas (58560254000); Ahmed, Sabeen (57695262100); Parker, Nathan (55330302800); Schabath, Matthew B. (6603452555); Araujo, Cyrillo (57208399983); Qayyum, Aliya (7006349913); Lam, Cesar (42262060000); Gatenby, Robert A. (7004904379); Rasool, Ghulam (57188549397)","57224102802; 58560254000; 57695262100; 55330302800; 6603452555; 57208399983; 7006349913; 42262060000; 7004904379; 57188549397","Clinical AI in Radiology: Foundations, Trends, Applications, and Emerging Directions","2026","Cancers","18","6","942","","","1","10.3390/cancers18060942","https://www.scopus.com/pages/publications/105034386845?origin=resultslist","Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Department of Electrical Engineering, University of South Florida, Tampa, 33620, FL, United States; Department of Health Outcomes and Behavior, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Department of Cancer Epidemiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States; Department of Neuro-Oncology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States","Hartsock I., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Koutsoubis N., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Electrical Engineering, University of South Florida, Tampa, 33620, FL, United States; Ahmed S., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Parker N., Department of Health Outcomes and Behavior, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Schabath M.B., Department of Cancer Epidemiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States; Araujo C., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States; Qayyum A., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States; Lam C., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States; Gatenby R.A., Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States; Rasool G., Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Diagnostic Imaging & Interventional Radiology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States, Department of Oncologic Sciences, University of South Florida, Tampa, 33612, FL, United States, Department of Neuro-Oncology, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, FL, United States","Artificial intelligence (AI) is at the vanguard of transforming radiology in several ways, including augmenting diagnoses, improving workflows, and increasing operational efficiency. Several integration challenges, including concerns over privacy, clinical usability, and workflow compatibility, still remain. This review discusses the foundations and current trends of clinical AI in radiology to provide essential context for ongoing developments. To illustrate translational potential, we describe representative applications, including: (1) local deployment of large language models (LLMs) for restructuring and streamlining radiology reports, improving clarity and consistency without relying on external resources; (2) multimodal AI frameworks combining CT images, clinical data, laboratory biomarkers, and LLM-extracted features from clinical notes for early detection of cachexia in pancreatic cancer; (3) privacy-preserving federated learning (FL) infrastructure enabling collaborative AI model development across institutions without sharing raw patient data; and (4) an uncertainty-aware de-identification pipeline for removing Protected Health Information (PHI) from radiology images and clinical reports to support secure data analysis and sharing. We further discuss emerging opportunities for tumor board decision support, clinical trial matching, radiology report quality assurance, and the development of an imaging complexity index. Collectively, these applications highlight the importance of local deployment, multimodal reasoning, privacy preservation, and human-in-the-loop oversight in translating AI models from research to oncology radiology practice. © 2026 by the authors.","local large language models; multimodal artificial intelligence; radiology","biological marker; anonymization; artificial intelligence; cachexia; computer assisted tomography; decision support system; diagnosis; federated learning; human; large language model; medical information; pancreas cancer; patient coding; privacy; quality control; radiology; reasoning; review; workflow","I. Hartsock; Department of Machine Learning, H. Lee Moffitt Cancer Center & Research Institute, Tampa, 33612, United States; email: iryna.hartsock@moffitt.org","","Multidisciplinary Digital Publishing Institute (MDPI)","20726694","","","","English","Cancers","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034386845"
"Bâra A.; Oprea S.-V.; Dobrița G.","Bâra, Adela (36774820600); Oprea, Simona-Vasilica (30067888400); Dobrița, Gabriela (57980534600)","36774820600; 30067888400; 57980534600","An extensible framework for energy community embedding business models and AI-generated code snippets","2026","Applied Soft Computing","190","","114455","","","0","10.1016/j.asoc.2025.114455","https://www.scopus.com/pages/publications/105028964253?origin=resultslist","Bucharest University of Economic Studies, Department of Economic Informatics and Cybernetics, no.6 Piața Romană, Bucharest, 010374, Romania","Bâra A., Bucharest University of Economic Studies, Department of Economic Informatics and Cybernetics, no.6 Piața Romană, Bucharest, 010374, Romania; Oprea S.-V., Bucharest University of Economic Studies, Department of Economic Informatics and Cybernetics, no.6 Piața Romană, Bucharest, 010374, Romania; Dobrița G., Bucharest University of Economic Studies, Department of Economic Informatics and Cybernetics, no.6 Piața Romană, Bucharest, 010374, Romania","This paper presents a modular and extensible framework for simulating the operation of Energy Communities (ECs) and their participation in Local Energy Markets (LEMs). The framework integrates agent-based modelling, weather-driven asset simulation and flexible market-clearing mechanisms to support high-resolution techno-economic analysis. It introduces three main contributions: (i) a heuristic, data-driven algorithm for estimating household consumption under partial observability, (ii) the Dynamically Adjusted Uniform Price (DAUP), a new pricing mechanism that increases traded volumes through iterative bid adjustment and (iii) GenECodes, a generative module powered by Large Language Models that automatically produces simulation-ready asset and market models using a three-layer architecture. Simulations based on a Romanian EC show high accuracy of the asset models, significant improvements in traded energy and self-consumption using DAUP, and seamless integration of new assets such as heat pumps and electric vehicles via GenECodes. The framework enables rapid prototyping of emerging business models and supports the digital transition of decentralized energy systems. © 2026 The Authors","Business models framework; Energy communities; Large language models; Local energy markets; Template-driven code generation","Codes (symbols); Computer aided software engineering; Costs; Economic analysis; Heuristic algorithms; Iterative methods; Power markets; Business model frameworks; Codegeneration; Energy; Energy community; Energy markets; Language model; Large language model; Local energy; Local energy market; Template-driven; Template-driven code generation; Computational methods","S.-V. Oprea; Bucharest University of Economic Studies, Department of Economic Informatics and Cybernetics, Bucharest, no.6 Piața Romană, 010374, Romania; email: simona.oprea@csie.ase.ro","","Elsevier Ltd","15684946","","","","English","Appl. Soft Comput.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105028964253"
"Ge X.; Fu J.; Chen F.; An S.; Sebe N.; Jose J.M.","Ge, Xuri (57232274600); Fu, Junchen (57710664100); Chen, Fuhai (56939478900); An, Shan (57202495145); Sebe, Nicu (57204924633); Jose, Joemon M. (7102211799)","57232274600; 57710664100; 56939478900; 57202495145; 57204924633; 7102211799","Towards End-to-End Explainable Facial Action Unit Recognition via Vision-Language Joint Learning","2024","MM 2024 - Proceedings of the 32nd ACM International Conference on Multimedia","","","","8189","8198","11","10.1145/3664647.3681443","https://www.scopus.com/pages/publications/85209779320?origin=resultslist","University of Glasgow, Glasgow, United Kingdom; Fuzhou University, Fuzhou, China; Tianjin University, Tianjin, China; University of Trento, Trento, Italy","Ge X., University of Glasgow, Glasgow, United Kingdom; Fu J., University of Glasgow, Glasgow, United Kingdom; Chen F., Fuzhou University, Fuzhou, China; An S., Tianjin University, Tianjin, China; Sebe N., University of Trento, Trento, Italy; Jose J.M., University of Glasgow, Glasgow, United Kingdom","Facial action units (AUs), as defined in the Facial Action Coding System (FACS), have received significant research interest owing to their diverse range of applications in facial state analysis. Current mainstream FAU recognition models have a notable limitation, i.e., focusing only on the accuracy of AU recognition and overlooking explanations of corresponding AU states. In this paper, we propose an end-to-end Vision-Language joint learning network for explainable FAU recognition (termed VL-FAU), which aims to reinforce AU representation capability and language interpretability through the integration of joint multimodal tasks. Specifically, VL-FAU brings together language models to generate fine-grained local muscle descriptions and distinguishable global face description when optimising FAU recognition. Through this, the global facial representation and its local AU representations will achieve higher distinguishability among different AUs and different subjects. In addition, multi-level AU representation learning is utilised to improve AU individual attention-aware representation capabilities based on multi-scale combined facial stem feature. Extensive experiments on DISFA and BP4D AU datasets show that the proposed approach achieves superior performance over the state-of-the-art methods on most of the metrics. In addition, compared with mainstream FAU recognition methods, VL-FAU can provide local- and global-level interpretability language descriptions with the AUs' predictions. © 2024 Owner/Author.","explainable facial au recognition; facial action unit recognition; vision-language joint learning","Contrastive Learning; Face recognition; Federated learning; Action Unit; End to end; Explainable facial au recognition; Facial action; Facial Action Coding System; Facial action unit recognition; Interpretability; Joint learning; Research interests; Vision-language joint learning; Visual languages","F. Chen; Fuzhou University, Fuzhou, China; email: chenfuhai3c@163.com","","Association for Computing Machinery, Inc","","979-840070686-8","","","English","MM - Proc. ACM Int. Conf. Multimed.","Conference paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85209779320"
"","","","48th German Conference on Artificial Intelligence, KI 2025","2026","Lecture Notes in Computer Science","15956 LNAI","","","","","0","","https://www.scopus.com/pages/publications/105015841410?origin=resultslist","","","The proceedings contain 28 papers. The special focus in this conference is on Artificial Intelligence. The topics include: Balanced Reciprocity for Data Sharing—Axiomatization and Mechanism Design; toward Simple and Robust Contrastive Explanations for Image Classification by Leveraging Instance Similarity and Concept Relevance; intermediate-Task Transfer Learning for Bioacoustic Data; on the Domain Robustness of Contrastive Vision-Language Models; numbers Don’t Lie: Hybrid Extraction and Validation of Quantitative Statements in Arguments with Semi-structured Information; a Hybrid Constraint-Based, Greedy, and Local Search Approach for the Transshipment Problem; re-examining Learning Linear Functions in Context; ODExAI: A Comprehensive Object Detection Explainable AI Evaluation; enhancing Semi-supervised Learning with a Meta-feature Based Safeguard System; Caïssa AI: A Neuro-Symbolic Chess Agent for Explainable Move Suggestion and Grounded Commentary; unsupervised Selection of Features by Their Resilience to the Curse of Dimensionality; development of Hybrid Artificial Intelligence Training on Real and Synthetic Data: Benchmark on Two Mixed Training Strategies; towards Systematic Evaluation of Computer Vision Models Under Data Anonymization; accessible Language Simplification: Large Language Models for Generating Easy German; learn, Optimize, Explain: A Neuro-Symbolic Advisor for Personal Finance; deep Learning Emulators for Large-Scale, High-Resolution Urban Pluvial Flood Prediction; towards Observing the Effect of Abstraction on Understandability of Explanations in Answer Set Programming; XAIRob—An Explainable-AI-Based Relative Robustness Measure for Object Detection; LLMs for Easy Language Translation: A Case Study on German Public Authorities Web Pages; re-evaluating the Robustness and Interpretability of the Contrastive Explanations Method for Image Classification; visualizing and Interpreting Neural Network Focus Regions: A Comparative Study of Vision Transformers on Synthetic and Real Data; comparing the Visual Quality of Deep Generative Models for Steel Microstructures; makrut Attacks Against Black-Box Explanations; positional Overload: Positional Debiasing and Context Window Extension for Large Language Models Using Set Encoding; Exploiting Contexts of LLM-based Code-Completion.","","","","Braun T.; Paaßen B.; Stolzenburg F.","Springer Science and Business Media Deutschland GmbH","03029743","978-303202812-9","","","English","Lect. Notes Comput. Sci.","Conference review","Final","","Scopus","2-s2.0-105015841410"
